state code,date,visits,clinic,notes
WY,2026-02-05,4,Riverstone Medical,seasonal spike expected
WY,2026-02-05,7,Community Care,
WY,2026-02-05,5,Downtown Clinic,telehealth ok
OR,2026-02-05,8,Northside Health,
OR,2026-02-05,5,Lakeview Clinic,seasonal spike expected
OR,2026-02-05,5,Riverstone Medical,
CA,2026-02-05,6,Lakeview Clinic,seasonal spike expected
CA,2026-02-05,9,Downtown Clinic,telehealth ok
CA,2026-02-05,6,Northside Health,telehealth ok
GA,2026-02-05,4,Lakeview Clinic,
GA,2026-02-05,4,Community Care,
GA,2026-02-05,8,Riverstone Medical,
AK,2026-02-05,7,Community Care,
AK,2026-02-05,8,Lakeview Clinic,seasonal spike expected
AK,2026-02-05,6,Riverstone Medical,
HI,2026-02-05,6,Downtown Clinic,telehealth ok
HI,2026-02-05,4,Community Care,seasonal spike expected
HI,2026-02-05,5,Northside Health,
PA,2026-02-05,5,Northside Health,telehealth ok
PA,2026-02-05,7,Riverstone Medical,telehealth ok
PA,2026-02-05,4,Lakeview Clinic,
AZ,2026-02-05,8,Riverstone Medical,
AZ,2026-02-05,6,Community Care,telehealth ok
AZ,2026-02-05,4,Northside Health,
RI,2026-02-05,5,Community Care,telehealth ok
RI,2026-02-05,6,Riverstone Medical,seasonal spike expected
RI,2026-02-05,6,Downtown Clinic,telehealth ok
NC,2026-02-05,6,Community Care,seasonal spike expected
NC,2026-02-05,6,Riverstone Medical,seasonal spike expected
NC,2026-02-05,7,Northside Health,
TN,2026-02-05,5,Community Care,seasonal spike expected
TN,2026-02-05,4,Lakeview Clinic,telehealth ok
TN,2026-02-05,5,Riverstone Medical,seasonal spike expected
IL,2026-02-05,4,Riverstone Medical,seasonal spike expected
IL,2026-02-05,5,Northside Health,
IL,2026-02-05,7,Lakeview Clinic,
NH,2026-02-05,4,Community Care,
NH,2026-02-05,8,Downtown Clinic,telehealth ok
NH,2026-02-05,4,Riverstone Medical,seasonal spike expected
FL,2026-02-05,8,Northside Health,seasonal spike expected
FL,2026-02-05,6,Downtown Clinic,seasonal spike expected
FL,2026-02-05,8,Lakeview Clinic,
MT,2026-02-05,4,Northside Health,
MT,2026-02-05,7,Lakeview Clinic,seasonal spike expected
MT,2026-02-05,4,Downtown Clinic,seasonal spike expected
NE,2026-02-05,5,Downtown Clinic,
NE,2026-02-05,8,Riverstone Medical,
NE,2026-02-05,4,Community Care,
CT,2026-02-05,4,Community Care,seasonal spike expected
CT,2026-02-05,6,Lakeview Clinic,telehealth ok
CT,2026-02-05,8,Riverstone Medical,seasonal spike expected
AL,2026-02-05,5,Community Care,
AL,2026-02-05,7,Lakeview Clinic,seasonal spike expected
AL,2026-02-05,8,Downtown Clinic,
MD,2026-02-05,4,Northside Health,
MD,2026-02-05,8,Lakeview Clinic,
MD,2026-02-05,7,Downtown Clinic,
ID,2026-02-05,7,Lakeview Clinic,seasonal spike expected
ID,2026-02-05,6,Community Care,
ID,2026-02-05,6,Downtown Clinic,
ND,2026-02-05,4,Downtown Clinic,telehealth ok
ND,2026-02-05,8,Community Care,seasonal spike expected
ND,2026-02-05,7,Lakeview Clinic,
KS,2026-02-05,4,Community Care,
KS,2026-02-05,5,Lakeview Clinic,telehealth ok
KS,2026-02-05,6,Downtown Clinic,
VT,2026-02-05,7,Downtown Clinic,
VT,2026-02-05,5,Lakeview Clinic,seasonal spike expected
VT,2026-02-05,8,Northside Health,seasonal spike expected
MI,2026-02-05,4,Lakeview Clinic,
MI,2026-02-05,6,Downtown Clinic,
MI,2026-02-05,6,Northside Health,seasonal spike expected
NY,2026-02-05,7,Northside Health,telehealth ok
NY,2026-02-05,8,Downtown Clinic,telehealth ok
NY,2026-02-05,5,Community Care,
UT,2026-02-05,6,Community Care,seasonal spike expected
UT,2026-02-05,5,Northside Health,telehealth ok
UT,2026-02-05,5,Lakeview Clinic,seasonal spike expected
TX,2026-02-05,8,Northside Health,telehealth ok
TX,2026-02-05,5,Community Care,
TX,2026-02-05,7,Riverstone Medical,
LA,2026-02-05,7,Northside Health,
LA,2026-02-05,4,Lakeview Clinic,seasonal spike expected
LA,2026-02-05,6,Downtown Clinic,telehealth ok
WV,2026-02-05,4,Northside Health,telehealth ok
WV,2026-02-05,7,Downtown Clinic,seasonal spike expected
WV,2026-02-05,8,Community Care,telehealth ok
NJ,2026-02-05,5,Northside Health,seasonal spike expected
NJ,2026-02-05,4,Downtown Clinic,seasonal spike expected
NJ,2026-02-05,4,Lakeview Clinic,telehealth ok
NM,2026-02-05,5,Lakeview Clinic,seasonal spike expected
NM,2026-02-05,8,Downtown Clinic,
NM,2026-02-05,6,Northside Health,telehealth ok
MN,2026-02-05,8,Riverstone Medical,telehealth ok
MN,2026-02-05,7,Community Care,telehealth ok
MN,2026-02-05,6,Downtown Clinic,
MS,2026-02-05,7,Community Care,
MS,2026-02-05,5,Riverstone Medical,
MS,2026-02-05,4,Lakeview Clinic,seasonal spike expected
VA,2026-02-05,7,Lakeview Clinic,
VA,2026-02-05,7,Downtown Clinic,
VA,2026-02-05,8,Northside Health,seasonal spike expected
AR,2026-02-05,6,Northside Health,seasonal spike expected
AR,2026-02-05,7,Riverstone Medical,telehealth ok
AR,2026-02-05,6,Lakeview Clinic,telehealth ok
WY,2026-02-06,6,Riverstone Medical,
WY,2026-02-06,2,Lakeview Clinic,seasonal spike expected
WY,2026-02-06,3,Downtown Clinic,seasonal spike expected
OR,2026-02-06,6,Lakeview Clinic,telehealth ok
OR,2026-02-06,6,Community Care,
OR,2026-02-06,6,Northside Health,
CA,2026-02-06,4,Community Care,seasonal spike expected
CA,2026-02-06,7,Downtown Clinic,seasonal spike expected
CA,2026-02-06,7,Riverstone Medical,seasonal spike expected
GA,2026-02-06,2,Riverstone Medical,
GA,2026-02-06,5,Lakeview Clinic,seasonal spike expected
GA,2026-02-06,3,Community Care,seasonal spike expected
AK,2026-02-06,4,Community Care,
AK,2026-02-06,2,Northside Health,telehealth ok
AK,2026-02-06,4,Riverstone Medical,seasonal spike expected
HI,2026-02-06,6,Riverstone Medical,
HI,2026-02-06,3,Lakeview Clinic,telehealth ok
