state,date,demand
CA,2026-02-02,4
TX,2026-02-02,4
FL,2026-02-02,3
NY,2026-02-02,3
WA,2026-02-02,2
AZ,2026-02-02,2
CA,2026-02-09,3
TX,2026-02-09,3
FL,2026-02-09,2
NY,2026-02-09,2
WA,2026-02-09,1
AZ,2026-02-09,1
CA,2026-02-16,3
TX,2026-02-16,3
FL,2026-02-16,2
NY,2026-02-16,2
WA,2026-02-16,1
AZ,2026-02-16,1
CA,2026-02-23,3
TX,2026-02-23,3
FL,2026-02-23,2
NY,2026-02-23,2
WA,2026-02-23,1
AZ,2026-02-23,1
CA,2026-03-02,4
TX,2026-03-02,4
FL,2026-03-02,3
NY,2026-03-02,3
WA,2026-03-02,2
AZ,2026-03-02,2
CA,2026-03-09,3
TX,2026-03-09,3
FL,2026-03-09,2
NY,2026-03-09,2
WA,2026-03-09,1
AZ,2026-03-09,1
CA,2026-03-16,3
TX,2026-03-16,3
FL,2026-03-16,2
NY,2026-03-16,2
WA,2026-03-16,1
AZ,2026-03-16,1
CA,2026-03-23,4
TX,2026-03-23,3
FL,2026-03-23,2
NY,2026-03-23,2
WA,2026-03-23,1
AZ,2026-03-23,1
CA,2026-03-30,5
TX,2026-03-30,4
FL,2026-03-30,3
NY,2026-03-30,3
WA,2026-03-30,2
AZ,2026-03-30,2
CA,2026-04-06,4
TX,2026-04-06,3
FL,2026-04-06,2
NY,2026-04-06,2
WA,2026-04-06,1
AZ,2026-04-06,1
CA,2026-04-13,4
TX,2026-04-13,3
FL,2026-04-13,2
NY,2026-04-13,2
WA,2026-04-13,1
AZ,2026-04-13,1
CA,2026-04-20,4
TX,2026-04-20,3
FL,2026-04-20,2
NY,2026-04-20,2
WA,2026-04-20,1
AZ,2026-04-20,1
CA,2026-04-27,5
TX,2026-04-27,4
FL,2026-04-27,3
NY,2026-04-27,3
WA,2026-04-27,2
AZ,2026-04-27,2
