state,date,demand
CT,2026-02-05,2
MA,2026-02-05,20
ME,2026-02-05,4
NH,2026-02-05,3
NJ,2026-02-05,3
NY,2026-02-05,3
PA,2026-02-05,2
RI,2026-02-05,3
VT,2026-02-05,3
CT,2026-02-12,1
MA,2026-02-12,19
ME,2026-02-12,3
NH,2026-02-12,2
NJ,2026-02-12,2
NY,2026-02-12,2
PA,2026-02-12,1
RI,2026-02-12,2
VT,2026-02-12,2
CT,2026-02-19,1
MA,2026-02-19,19
ME,2026-02-19,3
NH,2026-02-19,2
NJ,2026-02-19,2
NY,2026-02-19,2
PA,2026-02-19,1
RI,2026-02-19,2
VT,2026-02-19,2
CT,2026-02-26,1
MA,2026-02-26,19
ME,2026-02-26,3
NH,2026-02-26,2
NJ,2026-02-26,2
NY,2026-02-26,2
PA,2026-02-26,1
RI,2026-02-26,2
VT,2026-02-26,2
CT,2026-03-05,2
MA,2026-03-05,20
ME,2026-03-05,4
NH,2026-03-05,3
NJ,2026-03-05,3
NY,2026-03-05,3
PA,2026-03-05,2
RI,2026-03-05,3
VT,2026-03-05,3
CT,2026-03-12,1
MA,2026-03-12,19
ME,2026-03-12,3
NH,2026-03-12,2
NJ,2026-03-12,2
NY,2026-03-12,2
PA,2026-03-12,1
RI,2026-03-12,2
VT,2026-03-12,2
CT,2026-03-19,1
MA,2026-03-19,19
ME,2026-03-19,3
NH,2026-03-19,2
NJ,2026-03-19,2
NY,2026-03-19,2
PA,2026-03-19,1
RI,2026-03-19,2
VT,2026-03-19,2
CT,2026-03-26,1
MA,2026-03-26,20
ME,2026-03-26,3
NH,2026-03-26,2
NJ,2026-03-26,2
NY,2026-03-26,3
PA,2026-03-26,1
RI,2026-03-26,2
VT,2026-03-26,2
CT,2026-04-02,2
MA,2026-04-02,21
ME,2026-04-02,4
NH,2026-04-02,3
NJ,2026-04-02,3
NY,2026-04-02,4
PA,2026-04-02,2
RI,2026-04-02,3
VT,2026-04-02,3
CT,2026-04-09,1
MA,2026-04-09,20
ME,2026-04-09,3
NH,2026-04-09,2
NJ,2026-04-09,2
NY,2026-04-09,3
PA,2026-04-09,1
RI,2026-04-09,2
VT,2026-04-09,2
CT,2026-04-16,1
MA,2026-04-16,20
ME,2026-04-16,3
NH,2026-04-16,2
NJ,2026-04-16,2
NY,2026-04-16,3
PA,2026-04-16,1
RI,2026-04-16,2
VT,2026-04-16,2
CT,2026-04-23,1
MA,2026-04-23,20
ME,2026-04-23,3
NH,2026-04-23,2
NJ,2026-04-23,2
NY,2026-04-23,3
PA,2026-04-23,1
RI,2026-04-23,2
VT,2026-04-23,2
CT,2026-04-30,2
MA,2026-04-30,21
ME,2026-04-30,4
NH,2026-04-30,3
NJ,2026-04-30,3
NY,2026-04-30,4
PA,2026-04-30,2
RI,2026-04-30,3
VT,2026-04-30,3
